pallet_id,warehouse_id,client_id,received,shipped
P-001,WH-NORTH,ACME,2026-03-15,
P-002,WH-NORTH,ACME,2026-03-15,
P-003,WH-NORTH,ACME,2026-03-15,
P-004,WH-NORTH,ACME,2026-03-15,
P-005,WH-NORTH,ACME,2026-03-15,
P-006,WH-NORTH,ACME,2026-03-15,
P-007,WH-NORTH,ACME,2026-03-15,
P-008,WH-NORTH,ACME,2026-03-15,
P-009,WH-NORTH,ACME,2026-03-15,
P-010,WH-NORTH,ACME,2026-03-15,2026-07-20
P-011,WH-NORTH,ACME,2026-03-15,2026-07-20
P-012,WH-NORTH,ACME,2026-03-15,2026-07-20
P-013,WH-NORTH,ACME,2026-08-10,
P-014,WH-NORTH,ACME,2026-08-10,
