warehouse_id,client_id,period_start,period_end,rate_key,count
WH-NORTH,ACME,2026-07-01,2026-07-31,receiving.per_pallet,40
WH-NORTH,ACME,2026-07-01,2026-07-31,storage.per_pallet_month,120
WH-NORTH,ACME,2026-07-01,2026-07-31,pickpack.per_order,3200
WH-NORTH,ACME,2026-07-01,2026-07-31,pick.per_extra_unit,5400
WH-NORTH,ACME,2026-07-01,2026-07-31,freight.b2b_per_pallet_out,22
WH-NORTH,ACME,2026-08-01,2026-08-31,receiving.per_pallet,40
WH-NORTH,ACME,2026-08-01,2026-08-31,storage.per_pallet_month,120
WH-NORTH,ACME,2026-08-01,2026-08-31,pickpack.per_order,3050
WH-NORTH,ACME,2026-08-01,2026-08-31,pick.per_extra_unit,5400
WH-NORTH,ACME,2026-08-01,2026-08-31,freight.b2b_per_pallet_out,22
WH-NORTH,ACME,2026-09-01,2026-09-30,receiving.per_pallet,38
WH-NORTH,ACME,2026-09-01,2026-09-30,storage.per_pallet_month,118
WH-NORTH,ACME,2026-09-01,2026-09-30,pickpack.per_order,3150
WH-NORTH,ACME,2026-09-01,2026-09-30,pick.per_extra_unit,5300
WH-NORTH,ACME,2026-09-01,2026-09-30,freight.b2b_per_pallet_out,23
WH-NORTH,ACME,2026-10-01,2026-10-31,receiving.per_pallet,44
WH-NORTH,ACME,2026-10-01,2026-10-31,storage.per_pallet_month,126
WH-NORTH,ACME,2026-10-01,2026-10-31,pickpack.per_order,3400
WH-NORTH,ACME,2026-10-01,2026-10-31,pick.per_extra_unit,5900
WH-NORTH,ACME,2026-10-01,2026-10-31,freight.b2b_per_pallet_out,25
